date,ACC_value
4778,0.51119622
4779,0.525985616
4780,0.52206115
4781,0.51446785
4782,0.48135893
4783,0.470665377
4784,0.450295639
4785,0.446987326
4786,0.447077886
4787,0.461061984
4788,0.441594983
4789,0.424767409
4790,0.438400157
4791,0.447260726
4792,0.425350892
4793,0.385313545
4794,0.402225947
4795,0.379407645
4796,0.37371095
4797,0.356575587
4798,0.369051113
4799,0.375425289
4800,0.397513951
4801,0.43737419
4802,0.47541864
4803,0.466787337
4804,0.471393297
4805,0.460610903
4806,0.45272013
4807,0.461192666
4808,0.464684965
4809,0.479641152
4810,0.515807912
4811,0.530118714
4812,0.532688789
4813,0.535568374
4814,0.547059774
4815,0.551575174
4816,0.575229152
4817,0.589297505
4818,0.608146061
4819,0.616983704
4820,0.608493973
4821,0.597065621
4822,0.577046087
4823,0.555086388
4824,0.57016294
4825,0.563232219
4826,0.551486333
4827,0.55518096
4828,0.550349746
4829,0.554876036
4830,0.532792532
4831,0.508631303
4832,0.503804101
4833,0.521246108
4834,0.561117238
4835,0.558427371
4836,0.543191479
4837,0.522172344
4838,0.525982177
4839,0.534757345
4840,0.528242743
4841,0.523487759
4842,0.534987757
4843,0.511066684
4844,0.506983452
4845,0.530102665
4846,0.542312242
4847,0.545504776
4848,0.53700874
4849,0.53473843
4850,0.558993085
4851,0.5331542
4852,0.518185976
4853,0.531174485
4854,0.508438719
4855,0.498959704
4856,0.476276096
4857,0.459394072
4858,0.446353978
4859,0.448235681
4860,0.464667197
4861,0.456745473
4862,0.428267159
4863,0.436529344
4864,0.447127179
4865,0.452755093
4866,0.473739838
4867,0.49399093
4868,0.49783286
4869,0.490646508
4870,0.497996786
4871,0.471262615
4872,0.455687982
4873,0.440505395
4874,0.432448404
4875,0.46710659
4876,0.47451877
4877,0.484859827
4878,0.465415178
4879,0.459381462
4880,0.471082068
4881,0.460390807
4882,0.473846447
4883,0.455040878
4884,0.440704283
4885,0.398835671
4886,0.37823896
4887,0.357084558
4888,0.35567629
4889,0.355089368
4890,0.377329346
4891,0.365815592
4892,0.373940217
4893,0.39106469
4894,0.407576449
4895,0.406094242
4896,0.403271401
4897,0.384268663
4898,0.383257026
